"","x"
"13483","...."
"13484","allows"
"13485","play"
"13486","music"
"13487","amozon"
"13488","prime"
"13489","music"
"13490",";"
"13491","worth"
"13492","."
"13493","also,"
"13494","gives"
"13495","new's"
"13496","briefs"
"13497","tells"
"13498","jokes."
"13499",""
"13500",""
"13501",""
"13502","mom"
"13503","bought"
"13504","echo"
"13505","dots"
"13506","repeated"
"13507","ask"
"13508","take"
"13509","one"
"13510","great."
"13511","told"
"13512","“no”"
"13513","two"
"13514","days."
"13515","made"
"13516","take"
"13517",","
"13518","6"
"13519","hours"
"13520","later"
"13521","live"
"13522","life"
"13523","without"
"13524","!"
"13525","it’s"
"13526","amazing,"
"13527","now"
"13528","four"
"13529","large"
"13530","speakers"
"13531","small"
"13532","echo"
"13533","dot,"
"13534","will"
"13535","returning"
"13536","."
"13537","say"
"13538","you’re"
"13539","going"
"13540","order"
"13541","alexa"
"13542","speaker,"
"13543","go"
"13544","big"
"13545","get"
"13546","echo,"
"13547","otherwise"
"13548","tou’ll"
"13549","returning"
"13550","two"
"13551","echo"
"13552","dots"
"13553","couldn’t"
"13554","live"
"13555","without."
"13556","love"
"13557","!!"
"13558","great"
"13559","product!!!"
"13560","easy"
"13561","set"
"13562","user"
"13563","friendly"
"13564","really"
"13565","disappointed"
"13566","alexa"
"13567","plug-"
"13568","wall"
"13569","socket"
"13570","time."
"13571","fault"
"13572","checking"
"13573",","
"13574","made"
"13575","assumption"
"13576","company"
"13577","technologically"
"13578","advanced"
"13579","amazon"
"13580","sell"
"13581","product"
"13582","rechargeable"
"13583","battery."
"13584","return"
"13585",","
"13586","apple"
"13587","music"
"13588","boom"
"13589","speaker"
"13590","give"
"13591","flexibility"
"13592","alexa."
"13593",""
"13594","dont"
"13595","think"
"13596","&#34;2nd"
"13597","gen&#34;"
"13598","sounds"
"13599","good"
"13600","1st."
"13601","aux"
"13602","..."
"13603","add"
"13604","external"
"13605","speaker."
"13606","going"
"13607","wouldnt"
"13608","just"
"13609","get"
"13610","dot?"
"13611","2nd"
"13612","issue"
"13613","("
"13614","isnt"
"13615","unique"
"13616","unit"
"13617","dont"
"13618","understand"
"13619","cant"
"13620","override"
"13621","default"
"13622","prevents"
"13623","playing"
"13624","blue"
"13625","tooth"
"13626","speaker"
"13627","playing"
"13628","&#34;group&#34;."
"13629","get"
"13630","delay"
"13631","using"
"13632","bt"
"13633","speaker."
"13634","units"
"13635","can"
"13636","heard"
"13637","able"
"13638","play"
"13639","group"
"13640","using"
"13641","bt"
"13642","speaker."
"13643","1"
"13644","5"
"13645","29-jul-18"
"13646","charcoal"
"13647","fabric"
"13648","everything"
"13649","1"
"13650","3"
"13651","29-jul-18"
"13652","heather"
"13653","gray"
"13654","fabric"
"13655","like"
"13656","interaction"
"13657","asking"
"13658","questions."
"13659","don’t"
"13660","like"
"13661","can’t"
"13662","ask"
"13663","setup"
"13664","schedule"
"13665","connected"
"13666","lamp."
"13667","1"
"13668","5"
"13669","29-jul-18"
"13670","charcoal"
"13671","fabric"
"13672","supberb"
"13673","sound!"
"13674","definitely"
"13675","worth"
"13676","extra"
"13677","money"
"13678","listen"
"13679","lots"
"13680","music."
"13681","1"
"13682","5"
"13683","29-jul-18"
"13684","charcoal"
"13685","fabric"
"13686","really"
"13687","love"
"13688","amazon"
"13689","echo."
"13690","think"
"13691","sound"
"13692","quality"
"13693","great"
"13694","lot"
"13695","fun"
"13696","."
"13697","really"
"13698","handy"
"13699","music"
"13700","get"
"13701","updates"
"13702","weather"
"13703","sports!"
"13704","1"
"13705","5"
"13706","29-jul-18"
"13707","charcoal"
"13708","fabric"
"13709","love"
"13710","!"
"13711","grandkids!!"
"13712","1"
"13713","4"
"13714","29-jul-18"
"13715","heather"
"13716","gray"
"13717","fabric"
"13718",""""
"13719","far"
"13720","worked"
"13721","well."
"13722","always"
"13723","intuitive"
"13724","link"
"13725","different"
"13726","devices,"
"13727","""""skills"""","
"13728","getting"
"13729","hang"
"13730","."""
"13731","1"
"13732","5"
"13733","29-jul-18"
"13734","charcoal"
"13735","fabric"
"13736","works"
"13737","advertised"
"13738","1"
"13739","5"
"13740","29-jul-18"
"13741","sandstone"
"13742","fabric"
"13743","love"
"13744","!"
"13745","1"
"13746","4"
"13747","29-jul-18"
"13748","sandstone"
"13749","fabric"
"13750","""love"
"13751","new"
"13752","addition"
"13753","house!"
"13754","speaker"
"13755","quality"
"13756","great"
"13757","love"
"13758","alexa."
"13759","two"
"13760","("
"13761","complaints,"
"13762","suggestions"
"13763","future"
"13764","series)"
"13765","better"
"13766","communication"
"13767","ability."
"13768","example:"
"13769","smart"
"13770","lights"
"13771","house."
"13772","unless"
"13773","specify"
"13774","kitchen"
"13775","light"
"13776","1"
"13777","kitchen"
"13778","light"
"13779","2"
"13780","prior"
"13781","command"
"13782","either"
"13783","won’t"
"13784","respond"
"13785","says"
"13786","doesn’t"
"13787","recognize."
"13788","may"
"13789",","
"13790","want"
"13791","alexa"
"13792","respond"
"13793","say"
"13794","thank"
"13795","afterwards."
"13796","repeat"
"13797","alexa"
"13798","thank"
"13799","times"
"13800","won’t"
"13801","respond"
"13802",","
"13803","will"
"13804","husband."
"13805","know"
"13806","sounds"
"13807","odd."
"13808","laugh"
"13809",","
"13810","maybe"
"13811","it’s"
"13812","southern"
"13813","thing"
"13814","want"
"13815","alexa"
"13816","manners"
"13817","."""
"13818","1"
"13819","5"
"13820","29-jul-18"
"13821","sandstone"
"13822","fabric"
"13823","""like"
"13824","everything"
"13825","."
"13826","music,"
"13827","trivia"
"13828","games,"
"13829","weather."""
"13830","1"
"13831","5"
"13832","29-jul-18"
"13833","charcoal"
"13834","fabric"
"13835","described"
"13836","received"
"13837","time."
"13838","like"
"13839","automatic"
"13840","enrolment"
"13841","music."
"13842","1"
"13843","5"
"13844","29-jul-18"
"13845","charcoal"
"13846","fabric"
"13847","great"
"13848","device"
"13849","1"
"13850","3"
"13851","29-jul-18"
"13852","sandstone"
"13853","fabric"
"13854","owned"
"13855","echo"
"13856","overa"
"13857","year"
"13858","new"
"13859","lacks"
"13860","easy"
"13861","way"
"13862","increase"
"13863","decrease"
"13864","volume"
"13865","without"
"13866","telling"
"13867","increase"
"13868","decrease"
"13869","volume"
"13870","hard"
"13871","wife"
"13872","since"
"13873","english"
"13874","second"
"13875","language"
"13876","born"
"13877","korea."
"13878","sound"
"13879","echo"
"13880","superb."
"13881","we’ll"
"13882","keep"
"13883",".."
"13884","1"
"13885","5"
"13886","29-jul-18"
"13887","charcoal"
"13888","fabric"
"13889","love"
"13890","!"
"13891","kitchen"
"13892","works"
"13893","well!"
"13894","1"
"13895","5"
"13896","29-jul-18"
"13897","charcoal"
"13898","fabric"
"13899","nice!"
"13900","im"
"13901","impressed"
"13902","-"
"13903","wish"
"13904","say"
"13905","though."
"13906","love"
"13907","product."
"13908","nice"
"13909","easy"
"13910","access"
"13911","much"
"13912","info!!!"
"13913",""
"13914","got"
"13915","great"
"13916","sound"
"13917","bass"
"13918","doesnt"
"13919","work"
"13920","time."
"13921","still"
"13922","hot"
"13923","miss"
"13924","recognizes"
"13925","things"
"13926",""
"13927","still"
"13928","discovering"
"13929","echo"
"13930","can"
"13931","."
"13932","amazing"
"13933","paroduct"
"13934","good"
"13935","hearing"
"13936","range"
"13937","sound"
"13938","quality."
"13939","bit"
"13940","complicated"
"13941","set"
"13942","doesnt"
"13943","quite"
"13944","understand"
"13945","lot"
"13946","even"
"13947","speaking"
"13948","slowly"
"13949","clearly"
"13950","love"
"13951","flash"
"13952","briefing"
"13953","feature"
"13954","interfacing"
"13955","abode"
"13956","home"
"13957","security"
"13958","system."
"13959","1"
"13960","4"
"13961","29-jul-18"
"13962","charcoal"
"13963","fabric"
"13964","speaker"
"13965","sounds"
"13966","good"
"13967","1"
"13968","5"
"13969","29-jul-18"
"13970","charcoal"
"13971","fabric"
"13972","absolutely"
"13973","love!!"
"13974","1"
"13975","5"
"13976","29-jul-18"
"13977","charcoal"
"13978","fabric"
"13979","best"
"13980","part"
"13981","product"
"13982","can"
"13983","control"
"13984","thermostat"
"13985","lights"
"13986","house."
"13987","isn’t"
"13988","anything"
"13989","dislike."
"13990","1"
"13991","5"
"13992","29-jul-18"
"13993","charcoal"
"13994","fabric"
"13995","thoroughly"
"13996","enjoying"
"13997","amazon"
"13998","echo."
"13999","installation"
"14000","easy"
"14001","using"
"14002","alexa"
"14003","app."
"14004","purchased"
"14005","2"
"14006","kasa"
"14007","smart"
"14008","plugs"
"14009","control"
"14010","living"
"14011","room"
"14012","lights."
"14013","installation"
"14014","easy"
"14015","using"
"14016","kasa"
"14017","app."
"14018","sinqued"
"14019","right"
"14020","echo."
"14021","enjoying"
"14022","playing"
"14023","music"
"14024","echo"
"14025","sound"
"14026","quality"
"14027","awesome."
"14028","weve"
"14029","added"
"14030","kasa"
"14031","smart"
"14032","bulb"
"14033","kitchen."
"14034","setup"
"14035","seamless."
"14036","looking"
"14037","forward"
"14038","adding"
"14039","automation"
"14040","home."
"14041","1"
"14042","5"
"14043","29-jul-18"
"14044","charcoal"
"14045","fabric"
"14046","home"
"14047","entertainment"
"14048","1"
"14049","4"
"14050","29-jul-18"
"14051","heather"
"14052","gray"
"14053","fabric"
"14054",""""
"14055","cool"
"14056","product."
"14057","easy"
"14058","setup,"
"14059","fun"
"14060","use"
"14061","sound"
"14062","quality"
"14063","much"
"14064","better"
"14065","anticipated."""
"14066","1"
"14067","5"
"14068","29-jul-18"
"14069","heather"
"14070","gray"
"14071","fabric"
"14072","""love"
"14073",","
"14074","great"
"14075","sound..."
"14076","easy"
"14077","connect"
"14078","use..."""
"14079","1"
"14080","5"
"14081","29-jul-18"
"14082","charcoal"
"14083","fabric"
"14084","""doesnt"
"14085","work"
"14086","fairly"
"14087","new"
"14088","smart"
"14089","tv,"
"14090","thats"
"14091","mainly"
"14092","tv"
"14093","manufacturers(lg)"
"14094","fault"
"14095","due"
"14096","supporting"
"14097","anything"
"14098","older"
"14099","tvs"
"14100","year."
"14101","smart"
"14102","locks"
"14103","also"
"14104","need"
"14105","additional"
"14106","piece"
"14107","equipment"
"14108","order"
"14109","connect"
"14110","well."
"14111","speakers"
"14112","sound"
"14113","great"
"14114","works"
"14115","well."""
"14116","1"
"14117","5"
"14118","29-jul-18"
"14119","charcoal"
"14120","fabric"
"14121","great"
"14122","sound"
"14123","little"
"14124","speaker"
"14125","1"
"14126","5"
"14127","29-jul-18"
"14128","charcoal"
"14129","fabric"
"14130","enjoy"
"14131","1"
"14132","5"
"14133","29-jul-18"
"14134","sandstone"
"14135","fabric"
"14136","1"
"14137","5"
"14138","29-jul-18"
"14139","heather"
"14140","gray"
"14141","fabric"
"14142","cool"
"14143","1"
"14144","4"
"14145","29-jul-18"
"14146","charcoal"
"14147","fabric"
"14148","""good"
"14149","quality,"
"14150","great"
"14151","sound"
"14152","quality"""
"14153","1"
"14154","5"
"14155","29-jul-18"
"14156","charcoal"
"14157","fabric"
"14158","works"
"14159","perfectly"
"14160","1"
"14161","4"
"14162","29-jul-18"
"14163","heather"
"14164","gray"
"14165","fabric"
"14166","""great"
"14167","product."
"14168","sometimes"
"14169","alexa"
"14170","understand"
"14171","commands"
"14172","fire"
"14173","tv."
"14174",","
"14175","fabulous"
"14176","speaker."""
"14177","1"
"14178","4"
"14179","29-jul-18"
"14180","charcoal"
"14181","fabric"
"14182","love"
"14183","echo"
"14184","great"
"14185","sound"
"14186","smart!"
"14187","1"
"14188","5"
"14189","29-jul-18"
"14190","heather"
"14191","gray"
"14192","fabric"
"14193","sure"
"14194","!!"
"14195","love"
"14196","!!"
"14197","1"
"14198","5"
"14199","29-jul-18"
"14200","charcoal"
"14201","fabric"
"14202","plays"
"14203","great"
"14204","1"
"14205","5"
"14206","29-jul-18"
"14207","charcoal"
"14208","fabric"
"14209","works"
"14210","absolutely"
"14211","great"
"14212","1"
"14213","5"
"14214","29-jul-18"
"14215","charcoal"
"14216","fabric"
"14217","amazing"
"14218","product."
"14219","great"
"14220","sound"
"14221","quality."
"14222","1"
"14223","5"
"14224","29-jul-18"
"14225","charcoal"
"14226","fabric"
"14227","best"
"14228","thing"
"14229","ive"
"14230","invested"
"14231","thank"
"14232","much"
"14233","����������������"
"14234",""
"14235","extremely"
"14236","impressed"
"14237","item."
"14238","bought"
"14239","&#34;warehouse&#34;"
"14240","&#34;outlet&#34;"
"14241","&#34;minor"
"14242","imperfection."
"14243","tell"
"14244","even"
"14245","one."
"14246","works"
"14247","great."
"14248","come"
"14249","packaging,"
"14250","sealed"
"14251","damage"
"14252","missing"
"14253","anything."
"14254","like"
"14255","sound"
"14256","quality,"
"14257","see"
"14258","knock"
"14259","."
"14260","bose"
"14261","great"
"14262","family."
"14263","easy"
"14264","use,"
"14265","minor"
"14266","learning"
"14267","curve"
"14268","learns"
"14269","voice."
"14270","integrates"
"14271","seamlessly"
"14272","amazon"
"14273","services."
"14274","wait"
"14275","get"
"14276","classroom"
"14277","!"
"14278","lot"
"14279","fun"
"14280","even"
"14281","just"
"14282","speaker,"
"14283","let"
"14284","alone"
"14285","plan"
"14286","."
"14287",""
"14288","love"
"14289","echo"
"14290","show!"
"14291","now"
"14292","bedroom"
"14293","wonderful!,"
"14294","music,"
"14295","info,"
"14296","sleeping"
"14297","sounds!"
"14298","awesome"
"14299","life"
"14300","changer!"
"14301","seriously,"
"14302","able"
"14303","start"
"14304","morning"
"14305","alexa,"
"14306","&#34;wake&#34;"
"14307","alarm"
"14308","playing"
"14309","music."
"14310","gotten"
"14311","used"
"14312","voice,"
"14313","can"
"14314","another"
"14315","room"
"14316","will"
"14317","&#34;listen&#34;"
"14318","say."
"14319","love"
"14320","echos!!!"
"14321","hesitate,"
"14322","get"
"14323","one"
"14324","price,"
"14325","speaker"
"14326","unbelievable."
"14327","buying"
"14328","cordless"
"14329","holder,"
"14330","can"
"14331","take"
"14332","echo"
"14333","anywhere."
"14334","love"
"14335","purchase"
"14336","love"
"14337","alexa!!!!"
"14338",""
"14339","super"
"14340","impressed"
"14341","alexa."
"14342","prime"
"14343","lapsed,"
"14344","play"
"14345","anything."
"14346","smart"
"14347","enough"
"14348","differentiate"
"14349","among"
"14350","spotify"
"14351","accounts"
"14352","use"
"14353","either."
"14354","randomly"
"14355","speaks"
"14356","nobody"
"14357","talking"
"14358","."
"14359","just"
"14360","today"
"14361","unplugged"
"14362","..."
"14363","sure"
"14364","ever"
"14365","use"
"14366","alexa"
"14367","."
"14368",""
"14369","like"
"14370","everything"
"14371","!!!"
"14372","liked"
"14373","100%"
"14374","never"
"14375","issue"
"14376","buying"
"14377","use"
"14378","electronics"
"14379","long"
"14380","get"
"14381","good"
"14382","like"
"14383","new."
"14384","just"
"14385","read"
"14386","comment"
"14387","see"
"14388","used."
"14389",""
"14390","family"
"14391","really"
"14392","loves"
"14393","new"
"14394","echo"
"14395","bought"
"14396","wife"
"14397","loves"
"14398",""
"14399","fun"
"14400","just"
"14401","got"
"14402","today"
"14403","now"
"14404","pod"
"14405","will"
"14406","go"
"14407","car"
"14408","will"
"14409","use"
"14410","house."
"14411","like"
"14412",""
"14413",""
"14414","third"
"14415","echo."
"14416","worth"
"14417","every"
"14418","penny."
"14419","like"
"14420","3"
"14421","household"
"14422","employees"
"14423","small"
"14424","flat"
"14425","rate."
"14426","keep"
"14427","bedrooms"
"14428","living"
"14429","room."
"14430","can"
"14431","drop-"
"14432","use"
"14433","intercom,"
"14434","listen"
"14435","music,"
"14436","answer"
"14437","quick"
"14438","questions,"
"14439","alarms"
"14440","wake"
"14441","school,"
"14442","etc."
"14443","listen"
"14444","music"
"14445","set"
"14446","timer"
"14447",""
"14448","received"
"14449","echo"
"14450","perfect"
"14451","condition."
"14452","device"
"14453","easy"
"14454","set"
"14455","responds"
"14456","quickly"
"14457","without"
"14458","issues."
"14459","alexa"
"14460","great"
"14461","addition"
"14462","family!"
"14463","good"
"14464","sound."
"14465","like"
"14466","music"
"14467","scheduling."
"14468","like"
"14469","can"
"14470","get"
"14471","random"
"14472","thoughts"
"14473","recorded"
"14474","think"
"14475","."
"14476","jokes"
"14477","cute!"
"14478","purchased"
"14479","just"
"14480","beginning"
"14481","learn"
"14482","can"
"14483","."
"14484","far"
"14485","pleased"
"14486","amazed"
"14487","different"
"14488","actions"
"14489","can"
"14490","perform."
"14491","enjoying"
"14492","looking"
"14493","forward"
"14494","learning"
"14495","options"
"14496","provides."
"14497",""
"14498","echo"
"14499","just"
"14500","great"
"14501","others,"
"14502","even"
"14503","though"
"14504","smaller."
"14505","funny"
"14506","buy"
"14507","something"
"14508","just"
"14509","looks"
"14510","fun"
"14511","winds"
"14512","totally"
"14513","useful"
"14514","part"
"14515","home!!!"
"14516","loving"
"14517","!!"
"14518",""
"14519","bought"
"14520","replace"
"14521","&#34;dot&#34;"
"14522","living"
"14523","room."
"14524","speaker"
"14525","slightly"
"14526","better."
"14527","hears"
"14528","better"
"14529","tv."
"14530","unfortunately,"
"14531","understand"
"14532","respond"
"14533","requests"
"14534","well"
"14535","dot."
"14536","frequently"
"14537","request"
"14538","2"
"14539","3"
"14540","times"
"14541","get"
"14542","want."
"14543","dot"
"14544","usually"
"14545","exactly"
"14546","want"
"14547","first"
"14548","request."
"14549","consider"
"14550","upgrade."
"14551",""
"14552","good"
"14553","experience,"
"14554","far"
"14555","second"
"14556","generation"
"14557","echo."
"14558","many"
"14559","things"
"14560","learn,"
"14561","time"
"14562","yet."
"14563","right"
"14564","now,"
"14565","mostly"
"14566","enjoying"
"14567","music,"
"14568","weather"
"14569","updates,"
"14570","using"
"14571","alarm"
"14572","feature,"
"14573","personality."
"14574","also"
"14575","purchased"
"14576","mini"
"14577","smart"
"14578","socket"
"14579","yes."
"14580","excited"
"14581","begin"
"14582","using"
"14583",""
"14584","i’m"
"14585","trouble"
"14586","connecting"
"14587","tv"
"14588",","
"14589","i’m"
"14590","exactly"
"14591","tech"
"14592","smart."
"14593","i’m"
"14594","sure"
"14595","one"
"14596","grandsons"
"14597","will"
"14598","figure"
"14599","."
"14600","far"
"14601","i’ve"
"14602","using"
"14603","mostly"
"14604","music."
"14605","simply"
"14606","love"
"14607","echo."
"14608","hardly"
"14609","watch"
"14610","tv"
"14611","anymore."
"14612","im"
"14613","busy"
"14614","listening"
"14615","music."
"14616","speaker"
"14617","pretty"
"14618","goo"
"14619","size."
"14620","fun"
"14621","skills"
"14622","really"
"14623","make"
"14624","echo"
"14625","fun"
"14626","whole"
"14627","family."
"14628","1"
"14629","5"
"14630","29-jul-18"
"14631","charcoal"
"14632","fabric"
"14633","enjoyed"
"14634","entire"
"14635","echo"
"14636","experience"
"14637","1"
"14638","4"
"14639","29-jul-18"
"14640","charcoal"
"14641","fabric"
"14642","easy"
"14643","set"
"14644","."
"14645","1"
"14646","4"
"14647","29-jul-18"
"14648","charcoal"
"14649","fabric"
"14650",""""
"14651","echo"
"14652","amazing"
"14653","device."
"14654","many"
"14655","times"
"14656","seems"
"14657","intuitive."
"14658","times"
"14659","ask"
"14660","something"
"14661","seems"
"14662","clear"
"14663","simple"
"14664","get"
"14665","result."
"14666","installation"
"14667","fairly"
"14668","straightforward,"
"14669","messed"
"14670","several"
"14671","times"
"14672","simply"
"14673","thought"
"14674","step"
"14675","complete"
"14676","wasnt."
"14677","actually"
"14678","made"
"14679","lose"
"14680","ground"
"14681","figured"
"14682","."
"14683","advice"
"14684","patient;"
"14685","app"
"14686","will"
"14687","let"
"14688","know"
"14689","can"
"14690","move"
"14691","next"
"14692","step."
"14693","biggest"
"14694","issue"
"14695","moment"
"14696","several"
"14697","echo"
"14698","devices"
"14699","home"
"14700","like"
"14701","use"
"14702","intercoms"
"14703","("
"14704","told"
"14705","can"
"14706","done)."
"14707","however,"
"14708","cant"
"14709","make"
"14710","echos"
"14711","aware"
"14712","others"
"14713","existence."
"14714","ask"
"14715","alexa"
"14716","answers"
"14717","instructions"
"14718","change"
"14719","name."
"14720","know"
"14721","likely"
"14722","fault,"
"14723","think"
"14724","designers"
"14725","anticipate"
"14726","make"
"14727","easier"
"14728","find"
"14729","needed"
"14730","instructions."
"14731","small"
"14732","deal"
"14733","many"
"14734","device"
"14735","savvy"
"14736","people,"
"14737","challenge"
"14738","."""
"14739","1"
"14740","5"
"14741","29-jul-18"
"14742","heather"
"14743","gray"
"14744","fabric"
"14745","loving"
"14746","much"
"14747","1"
"14748","5"
"14749","29-jul-18"
"14750","heather"
"14751","gray"
"14752","fabric"
"14753",""""
"14754","original"
"14755","alexa"
"14756","tap"
"14757","far"
"14758","2nd"
"14759","generation"
"14760","best."
"14761","im"
"14762","happy"
"14763","see"
"14764","making"
"14765","improvements"
"14766","new"
"14767","one."
"14768","great"
"14769","updates"
"14770","little"
"14771","..s,"
"14772","think"
"14773","help"
"14774","lot"
"14775","bugs"
"14776","."
"14777","happy"
"14778","can"
"14779","now"
"14780","play"
"14781","music"
"14782","throughout"
"14783","whole"
"14784","house"
"14785","adjust"
"14786","bass"
"14787","treble."
"14788","thank"
"14789",""""
"14790","1"
"14791","5"
"14792","29-jul-18"
"14793","charcoal"
"14794","fabric"
"14795",""""
"14796","pleased"
"14797","echo"
"14798","2nd"
"14799","generation."
"14800","nice"
"14801","alexa"
"14802","available"
"14803","music,"
"14804","weather,"
"14805","news,"
"14806","probably"
"14807","lot"
"14808","haven’t"
"14809","discovered."""
"14810","1"
"14811","4"
"14812","29-jul-18"
"14813","heather"
"14814","gray"
"14815","fabric"
"14816",""""
"14817","pleasantly"
"14818","surprised"
"14819","sound"
"14820","quality"
"14821","echo."
"14822","big"
"14823","fan"
"14824","deep"
"14825","bass,"
"14826","might"
"14827","sufficient"
"14828","though."
"14829","potential"
"14830","control"
"14831","home"
"14832","option"
"14833","will"
"14834","explore"
"14835","evolve"
"14836","home"
"14837","""""smart"
"14838","home""""."
"14839","voice"
"14840","recognition"
"14841","impressive."
"14842","stylish"
"14843","fun."
"14844","regrets"
"14845","purchase."
"14846","great"
"14847","technically"
"14848","changes"
"14849","people."
"14850","ask"
"14851","play"
"14852","song"
"14853","movie"
"14854","responds"
"14855","instantly."
"14856","elderly"
"14857","loved"
"14858","one,"
"14859","great"
"14860","gift."
"14861","connected"
"14862","wifi,"
"14863","simple"
"14864","use."
"14865","want"
"14866","unlimited"
"14867","music"
"14868","control,"
"14869","sure"
"14870","amazon"
"14871","prime"
"14872","premium"
"14873","spotify"
"14874","will"
"14875","blown"
"14876","away"
"14877","personal"
"14878","dj!"
"14879","can"
"14880","even"
"14881","conversations"
"14882","echo."
"14883","embarrassed"
"14884","say,"
"14885","echo"
"14886","made"
"14887","laugh"
"14888","couple"
"14889","times"
"14890","ask"
"14891","tell"
"14892","joke."
"14893","tells"
"14894","packages"
"14895","since"
"14896","amazon"
"14897","prime"
"14898","addict,"
"14899","comes"
"14900","extremely"
"14901","handy!"""
"14902","1"
"14903","5"
"14904","29-jul-18"
"14905","heather"
"14906","gray"
"14907","fabric"
"14908","easy"
"14909","setup."
"14910","love"
"14911","things"
"14912","."
"14913","1"
"14914","5"
"14915","29-jul-18"
"14916","heather"
"14917","gray"
"14918","fabric"
"14919","alexa"
"14920","throughout"
"14921","house----"
"14922","future"
"14923","arrived!"
"14924","1"
"14925","5"
"14926","29-jul-18"
"14927","charcoal"
"14928","fabric"
"14929",""""
"14930","already"
"14931","alexa"
"14932","amazon"
"14933","find"
"14934","today"
"14935","resist"
"14936","getting"
"14937","echo"
"14938","also."
"14939","best"
"14940","thing"
"14941","ever"
"14942",","
"14943","use"
"14944","side"
"14945","house!"
"14946","couldnt"
"14947","happier!"
"14948","1"
"14949","5"
"14950","29-jul-18"
"14951","sandstone"
"14952","fabric"
"14953","arrived"
"14954","expected."
"14955","1"
"14956","5"
"14957","29-jul-18"
"14958","charcoal"
"14959","fabric"
"14960","bought"
"14961","weeks"
"14962","ago"
"14963","-"
"14964","everything"
"14965","product"
"14966","excellent"
"14967","!!!!!"
"14968","dont"
"14969","forget"
"14970","buy"
"14971","charger"
"14972","ordering,"
"14973","must"
"14974","take"
"14975","outside"
"14976","pool"
"14977","worry"
"14978","hiring"
"14979","electrician"
"14980","put"
"14981","outlets"
"14982","yard."
"14983","1"
"14984","4"
"14985","29-jul-18"
"14986","charcoal"
"14987","fabric"
"14988","terrific"
"14989","1"
"14990","5"
"14991","29-jul-18"
"14992","oak"
"14993","finish"
"14994","love"
"14995","echo"
"14996","1"
"14997","5"
"14998","29-jul-18"
"14999","charcoal"
"15000","fabric"
"15001","it’s"
"15002","smaller"
"15003","original."
"15004","looks"
"15005","nicer"
"15006","."
"15007","1"
"15008","5"
"15009","29-jul-18"
"15010","heather"
"15011","gray"
"15012","fabric"
"15013","works"
"15014","great!"
"15015","1"
"15016","5"
"15017","29-jul-18"
"15018","charcoal"
"15019","fabric"
"15020","husband"
"15021","call"
"15022","&"
"15023",""
"15024","really"
"15025","enjoyed"
"15026","."
"15027","changing"
"15028","directv"
"15029","channels,"
"15030","plays"
"15031","iheartradio"
"15032","pandora"
"15033",","
"15034","adjusts"
"15035","ac"
"15036","thermostat"
"15037","turns"
"15038","living"
"15039","room"
"15040","lights"
"15041","outside"
"15042","lights."
"15043",""
"15044","wanting"
"15045","one"
"15046","now."
"15047","bought"
"15048","prime"
"15049","day"
"15050","absolutely"
"15051","love"
"15052","."
"15053",""
"15054","glad"
"15055","got"
"15056","echo"
"15057","bluetooth"
"15058","speaker."
"15059","alexa"
"15060","much"
"15061","stuff"
"15062","non"
"15063","smart"
"15064","speakers"
"15065","."
"15066","personally"
"15067","love"
"15068","timer"
"15069","feature."
"15070","helped"
"15071","cooking"
"15072","multiple"
"15073","things"
"15074","simultaneously."
"15075","pandora"
"15076","integration"
"15077","another"
"15078","feature"
"15079","use"
"15080","daily."
"15081","happy"
"15082","prime"
"15083","day"
"15084","purchase."
"15085","will"
"15086","get"
"15087","echo"
"15088","hub"
"15089","echo"
"15090","dots"
"15091","future."
"15092","see"
"15093","subject"
"15094","line."
"15095","love"
"15096",""
"15097","love"
"15098","!"
"15099",""
"15100","easy"
"15101","setup."
"15102",""
"15103","hesitant"
"15104","buy"
"15105","echo"
"15106","echo"
"15107","dot"
"15108","seems"
"15109","good"
"15110","enough."
"15111","echo"
"15112","except"
"15113","sound"
"15114","quality,"
"15115","really"
"15116","feel"
"15117","needed."
"15118","however,"
"15119","glad"
"15120","got"
"15121","."
"15122","difference!"
"15123","sound"
"15124","really"
"15125","far"
"15126","superior"
"15127","echo"
"15128","dot!"
"15129","now"
"15130","can"
"15131","listen"
"15132","greatest"
"15133","showman"
"15134","little"
"15135","power!"
"15136","sound"
"15137","quality"
"15138","great."
"15139","still"
"15140","learning"
"15141","different"
"15142","things"
"15143","can"
"15144","."
"15145","fun!!!"
"15146","got"
"15147","good"
"15148","deal"
"15149","works"
"15150","great"
"15151","prime."
"15152","setup"
"15153","bit"
"15154","pain"
"15155","fault"
"15156","crappy"
"15157","internet"
"15158","service."
"15159","worked"
"15160","great"
"15161","nice"
"15162","sound"
"15163","small"
"15164","speaker."
"15165",""
"15166","love"
"15167","!!"
"15168","works"
"15169","great!"
"15170","perfect"
"15171","office!"
"15172","love"
"15173","---"
"15174","one"
"15175","inside"
"15176","house"
"15177","one"
"15178","pool"
"15179","now"
"15180","."
"15181","just"
"15182","good"
"15183","bose"
"15184","speakers"
"15185","around"
"15186","house"
"15187","-"
"15188","easy"
"15189","use--amazing"
"15190","nice"
"15191","product"
"15192","+"
"15193",""
"15194","love"
"15195","echo!"
"15196","totally"
"15197","amazed"
"15198","speaker"
"15199","quality."
"15200","bummed"
"15201","didn’t"
"15202","buy"
"15203","two"
"15204","since"
"15205","got"
"15206","prime"
"15207","day!"
"15208",""
"15209","responsive."
"15210","great"
"15211","sound"
"15212","quality"
"15213","size."
